# U,Z value,Z error
320.0000 & 9672.0000
330.0000 & 9689.0000
340.0000 & 9580.0000
350.0000 & 9837.0000
360.0000 & 9886.0000
370.0000 & 10041.0000
380.0000 & 9996.0000
390.0000 & 9943.0000
400.0000 & 9995.0000
410.0000 & 9980.0000
420.0000 & 9986.0000
430.0000 & 9960.0000
440.0000 & 10219.0000
450.0000 & 10264.0000
460.0000 & 10174.0000
470.0000 & 10035.0000
480.0000 & 10350.0000
490.0000 & 10290.0000
500.0000 & 10151.0000
510.0000 & 10110.0000
520.0000 & 10255.0000
530.0000 & 10151.0000
540.0000 & 10351.0000
550.0000 & 10184.0000
560.0000 & 10137.0000
570.0000 & 10186.0000
580.0000 & 10171.0000
590.0000 & 10171.0000
600.0000 & 10253.0000
610.0000 & 10368.0000
620.0000 & 10365.0000
630.0000 & 10224.0000
640.0000 & 10338.0000
650.0000 & 10493.0000
660.0000 & 10467.0000
670.0000 & 10640.0000
680.0000 & 10939.0000
690.0000 & 11159.0000
700.0000 & 11547.0000
